"HBID","dti_dtitk_jhutract_fa_atr_l","dti_dtitk_jhutract_fa_atr_r","dti_dtitk_jhutract_fa_cst_l","dti_dtitk_jhutract_fa_cst_r","dti_dtitk_jhutract_fa_cgc_l","dti_dtitk_jhutract_fa_cgc_r","dti_dtitk_jhutract_fa_cgh_l","dti_dtitk_jhutract_fa_cgh_r","dti_dtitk_jhutract_fa_forceps_mjor","dti_dtitk_jhutract_fa_forceps_minor","dti_dtitk_jhutract_fa_ifo_l","dti_dtitk_jhutract_fa_ifo_r","dti_dtitk_jhutract_fa_ilf_l","dti_dtitk_jhutract_fa_ilf_r","dti_dtitk_jhutract_fa_slf_l","dti_dtitk_jhutract_fa_slf_r","dti_dtitk_jhutract_fa_uf_l","dti_dtitk_jhutract_fa_uf_r"
1764595898,0.39226,0.35433,0.50605,0.51427,0.53202,0.50686,0.35487,0.3632,0.59261,0.44132,0.42424,0.43838,0.44885,0.43885,0.37358,0.40075,0.35357,0.38838
567224934,0.38855,0.3831,0.55824,0.55568,0.5816,0.55945,0.36724,0.39019,0.62983,0.4491,0.46339,0.47668,0.45072,0.51151,0.3744,0.40952,0.44728,0.44153
3552268730,0.36916,0.36694,0.52708,0.52626,0.55502,0.48601,0.35977,0.4084,0.55542,0.42093,0.43004,0.43731,0.44462,0.48428,0.35729,0.36709,0.37621,0.37752
423510458,0.39116,0.36961,0.55579,0.54781,0.56815,0.56942,0.46149,0.42951,0.61881,0.45865,0.45298,0.46167,0.47125,0.50119,0.37566,0.36894,0.45585,0.44821
3971741950,,,,,,,,,,,,,,,,,,
4209635710,0.39796,0.37254,0.53927,0.53376,0.50574,0.44694,0.35539,0.29195,0.57303,0.44674,0.45277,0.4506,0.45466,0.48751,0.37224,0.3871,0.43967,0.42204
3183721577,0.38085,0.37236,0.53756,0.55221,0.52597,0.54363,0.39619,0.42299,0.56462,0.43708,0.44778,0.45448,0.45971,0.48159,0.35492,0.36744,0.39541,0.39708
1798312651,0.38289,0.35907,0.55411,0.56134,0.59539,0.52964,0.4161,0.41856,0.54818,0.44337,0.45435,0.45058,0.47468,0.49035,0.37713,0.39577,0.42658,0.44185
2582662627,0.38204,0.35597,0.56272,0.54811,0.53646,0.53575,0.42657,0.39102,0.55437,0.44054,0.45142,0.44541,0.44703,0.45958,0.39092,0.39909,0.42832,0.43261
789242708,0.36351,0.33548,0.52346,0.52186,0.52727,0.49787,0.38815,0.33778,0.60328,0.42354,0.42369,0.41638,0.41893,0.45349,0.33317,0.36164,0.42393,0.41691
737209773,0.37894,0.35261,0.54645,0.57063,0.56714,0.5608,0.38057,0.34804,0.46218,0.434,0.44169,0.44474,0.43876,0.4933,0.36773,0.39247,0.42571,0.42886
2553165637,0.36819,0.35122,0.5648,0.55413,0.55147,0.5216,0.4172,0.40861,0.57613,0.43623,0.42491,0.43874,0.44341,0.48711,0.36551,0.38464,0.40624,0.43098
3454988663,0.39059,0.36246,0.53084,0.52599,0.55362,0.50409,0.36939,0.33397,0.56633,0.44188,0.4306,0.43413,0.42965,0.44942,0.36218,0.38371,0.42708,0.39527
